CNT,CLIENT_ADDVERY_SEGMENT_JUN,CLIENT_ADDVERY_SEGMENT_JUL,CLIENT_ADDVERY_SEGMENT_AUG,CLIENT_ADDVERY_SEGMENT_SEP,CLIENT_ADDVERY_SEGMENT_OCT,CLIENT_ADDVERY_SEGMENT_NOV
2,1-Active Customer,2-Onboarding,2-Onboarding,1-Active Customer,3-Retention,3-Retention
2,4-Winback,2-Onboarding,1-Active Customer,2-Onboarding,1-Active Customer,2-Onboarding
2,3-Retention,1-Active Customer,2-Onboarding,2-Onboarding,2-Onboarding,2-Onboarding
190,3-Retention,4-Winback,1-Active Customer,1-Active Customer,1-Active Customer,1-Active Customer
90,1-Active Customer,3-Retention,3-Retention,3-Retention,1-Active Customer,3-Retention
3,2-Onboarding,3-Retention,3-Retention,3-Retention,3-Retention,2-Onboarding
5,1-Active Customer,1-Active Customer,1-Active Customer,2-Onboarding,1-Active Customer,2-Onboarding
6,4-Winback,4-Winback,3-Retention,3-Retention,1-Active Customer,1-Active Customer
25,1-Active Customer,1-Active Customer,1-Active Customer,1-Active Customer,2-Onboarding,1-Active Customer
74,1-Active Customer,1-Active Customer,3-Retention,1-Active Customer,3-Retention,1-Active Customer
603,3-Retention,3-Retention,1-Active Customer,3-Retention,3-Retention,3-Retention
8,3-Retention,4-Winback,2-Onboarding,2-Onboarding,2-Onboarding,1-Active Customer
19,2-Onboarding,1-Active Customer,2-Onboarding,2-Onboarding,2-Onboarding,3-Retention
21,1-Active Customer,1-Active Customer,3-Retention,2-Onboarding,2-Onboarding,3-Retention
1,2-Onboarding,2-Onboarding,1-Active Customer,3-Retention,3-Retention,1-Active Customer
183,4-Winback,2-Onboarding,2-Onboarding,2-Onboarding,2-Onboarding,1-Active Customer
27,2-Onboarding,2-Onboarding,1-Active Customer,2-Onboarding,2-Onboarding,3-Retention
1,3-Retention,2-Onboarding,3-Retention,3-Retention,3-Retention,1-Active Customer
1,3-Retention,2-Onboarding,2-Onboarding,2-Onboarding,1-Active Customer,2-Onboarding
48,2-Onboarding,1-Active Customer,2-Onboarding,2-Onboarding,2-Onboarding,2-Onboarding
83,1-Active Customer,2-Onboarding,3-Retention,3-Retention,3-Retention,3-Retention
2,1-Active Customer,1-Active Customer,2-Onboarding,1-Active Customer,2-Onboarding,2-Onboarding
15,1-Active Customer,2-Onboarding,2-Onboarding,2-Onboarding,2-Onboarding,1-Active Customer
1,1-Active Customer,3-Retention,2-Onboarding,1-Active Customer,1-Active Customer,1-Active Customer
68,1-Active Customer,3-Retention,3-Retention,1-Active Customer,1-Active Customer,3-Retention
3,3-Retention,3-Retention,1-Active Customer,2-Onboarding,2-Onboarding,2-Onboarding
9,2-Onboarding,2-Onboarding,1-Active Customer,2-Onboarding,3-Retention,3-Retention
86,4-Winback,1-Active Customer,2-Onboarding,2-Onboarding,2-Onboarding,2-Onboarding
80,1-Active Customer,1-Active Customer,1-Active Customer,1-Active Customer,1-Active Customer,2-Onboarding
37,2-Onboarding,2-Onboarding,3-Retention,1-Active Customer,1-Active Customer,3-Retention
1,4-Winback,1-Active Customer,2-Onboarding,2-Onboarding,1-Active Customer,1-Active Customer
1853,2-Onboarding,1-Active Customer,1-Active Customer,1-Active Customer,1-Active Customer,1-Active Customer
4,1-Active Customer,2-Onboarding,1-Active Customer,1-Active Customer,3-Retention,3-Retention
1,3-Retention,4-Winback,4-Winback,2-Onboarding,1-Active Customer,2-Onboarding
4,3-Retention,1-Active Customer,2-Onboarding,3-Retention,3-Retention,3-Retention
4,4-Winback,4-Winback,3-Retention,3-Retention,3-Retention,1-Active Customer
142706,2-Onboarding,2-Onboarding,2-Onboarding,2-Onboarding,2-Onboarding,3-Retention
2,2-Onboarding,2-Onboarding,1-Active Customer,3-Retention,1-Active Customer,1-Active Customer
1,4-Winback,1-Active Customer,1-Active Customer,2-Onboarding,1-Active Customer,2-Onboarding
455227,1-Active Customer,1-Active Customer,1-Active Customer,1-Active Customer,1-Active Customer,1-Active Customer
182086,3-Retention,3-Retention,3-Retention,4-Winback,4-Winback,4-Winback
4,3-Retention,2-Onboarding,2-Onboarding,2-Onboarding,2-Onboarding,1-Active Customer
1,3-Retention,3-Retention,1-Active Customer,1-Active Customer,2-Onboarding,1-Active Customer
186,3-Retention,4-Winback,4-Winback,4-Winback,1-Active Customer,1-Active Customer
