CNT,CLIENT_ADDVERY_SEGMENT_JUN,CLIENT_ADDVERY_SEGMENT_JUL,CLIENT_ADDVERY_SEGMENT_AUG,CLIENT_ADDVERY_SEGMENT_SEP,CLIENT_ADDVERY_SEGMENT_OCT,CLIENT_ADDVERY_SEGMENT_NOV
2,1-Active,2-Onboarding,2-Onboarding,1-Active,3-Retention,3-Retention
2,4-Winback,2-Onboarding,1-Active,2-Onboarding,1-Active,2-Onboarding
2,3-Retention,1-Active,2-Onboarding,2-Onboarding,2-Onboarding,2-Onboarding
190,3-Retention,4-Winback,1-Active,1-Active,1-Active,1-Active
90,1-Active,3-Retention,3-Retention,3-Retention,1-Active,3-Retention
3,2-Onboarding,3-Retention,3-Retention,3-Retention,3-Retention,2-Onboarding
5,1-Active,1-Active,1-Active,2-Onboarding,1-Active,2-Onboarding
6,4-Winback,4-Winback,3-Retention,3-Retention,1-Active,1-Active
25,1-Active,1-Active,1-Active,1-Active,2-Onboarding,1-Active
74,1-Active,1-Active,3-Retention,1-Active,3-Retention,1-Active
603,3-Retention,3-Retention,1-Active,3-Retention,3-Retention,3-Retention
8,3-Retention,4-Winback,2-Onboarding,2-Onboarding,2-Onboarding,1-Active
19,2-Onboarding,1-Active,2-Onboarding,2-Onboarding,2-Onboarding,3-Retention
21,1-Active,1-Active,3-Retention,2-Onboarding,2-Onboarding,3-Retention
1,2-Onboarding,2-Onboarding,1-Active,3-Retention,3-Retention,1-Active
183,4-Winback,2-Onboarding,2-Onboarding,2-Onboarding,2-Onboarding,1-Active
27,2-Onboarding,2-Onboarding,1-Active,2-Onboarding,2-Onboarding,3-Retention
1,3-Retention,2-Onboarding,3-Retention,3-Retention,3-Retention,1-Active
1,3-Retention,2-Onboarding,2-Onboarding,2-Onboarding,1-Active,2-Onboarding
48,2-Onboarding,1-Active,2-Onboarding,2-Onboarding,2-Onboarding,2-Onboarding
83,1-Active,2-Onboarding,3-Retention,3-Retention,3-Retention,3-Retention
2,1-Active,1-Active,2-Onboarding,1-Active,2-Onboarding,2-Onboarding
